epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.3766,1.64988,3.96175,1.41603,0.01008,0.53425,0.01537,0.00811,1.42343,3.94028,1.30512,0.0001,0.0001,0.0001
2,15.5565,1.48394,2.26604,1.25507,0.67947,0.93288,0.77971,0.42751,1.283,2.70093,1.16661,0.000219564,0.000219564,0.000219564
3,21.2035,1.29758,0.81796,1.10782,0.80846,0.82877,0.89045,0.48943,1.5746,1.80477,1.43117,0.000338654,0.000338654,0.000338654
4,26.7839,1.29179,0.72502,1.10265,0.65808,0.4589,0.55993,0.23041,2.29906,1.71617,1.85474,0.000457268,0.000457268,0.000457268
5,32.2431,1.25745,0.68019,1.10193,0.64921,0.45127,0.5053,0.24044,2.17654,1.67486,1.83245,0.000575406,0.000575406,0.000575406
6,37.7303,1.28722,0.68402,1.13157,0.05191,0.1137,0.01451,0.00494,3.38145,6.71034,14.2288,0.00069307,0.00069307,0.00069307
7,42.6398,1.28037,0.68668,1.14094,0.05191,0.1137,0.01451,0.00494,nan,nan,nan,0.000810258,0.000810258,0.000810258
8,47.9226,1.26828,0.70578,1.11673,0.00097,0.07534,0.00047,0.00011,nan,nan,nan,0.000926972,0.000926972,0.000926972
9,53.2358,1.27648,0.72151,1.15467,0.00097,0.07534,0.00047,0.00011,nan,nan,nan,0.00104321,0.00104321,0.00104321
10,58.618,1.23738,0.72193,1.09782,0.00288,0.00685,0.00147,0.00029,nan,nan,nan,0.00115897,0.00115897,0.00115897
11,63.4091,1.25825,0.68048,1.11031,0.00288,0.00685,0.00147,0.00029,nan,nan,nan,0.00127426,0.00127426,0.00127426
12,69.3441,1.29608,0.72251,1.15051,0.15483,0.18219,0.07662,0.02917,2.4103,23.7602,4.74441,0.00138907,0.00138907,0.00138907
13,75.0481,1.28223,0.70059,1.12341,0.00183,0.09041,0.0008,0.00021,nan,nan,nan,0.00150341,0.00150341,0.00150341
14,80.5431,1.29312,0.70931,1.13985,0.00128,0.03014,0.00056,0.00015,nan,nan,nan,0.00161727,0.00161727,0.00161727
15,85.8198,1.25395,0.70107,1.12594,0.00308,0.00411,0.00092,0.00028,nan,nan,nan,0.00173066,0.00173066,0.00173066
16,91.3122,1.30512,0.74107,1.16257,0.00611,0.0137,0.00117,0.00026,nan,nan,nan,0.00184357,0.00184357,0.00184357
17,97.6812,1.33957,0.748,1.14372,0.02155,0.11507,0.01224,0.00427,nan,nan,nan,0.00193664,0.00193664,0.00193664
18,103.677,1.28857,0.68963,1.13156,0.01604,0.00959,0.00273,0.00063,nan,nan,nan,0.00193268,0.00193268,0.00193268
19,109.252,1.25867,0.69032,1.13823,0.00347,0.00822,0.00083,0.00025,nan,nan,nan,0.00192872,0.00192872,0.00192872
20,114.607,1.24491,0.68357,1.1155,0.01017,0.01233,0.00212,0.00067,nan,nan,nan,0.00192476,0.00192476,0.00192476
21,120.531,1.21178,0.67381,1.11527,0.03856,0.07397,0.00917,0.00329,nan,nan,nan,0.0019208,0.0019208,0.0019208
22,126.836,1.2517,0.67045,1.14101,0.17685,0.44384,0.1405,0.0615,nan,nan,nan,0.00191684,0.00191684,0.00191684
23,133.087,1.24845,0.64516,1.11465,0.48255,0.40822,0.32982,0.18585,1.79726,4.52123,2.10054,0.00191288,0.00191288,0.00191288
