epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,11.0768,1.05131,0.63333,1,0.96436,7.854e-05,7.854e-05,7.854e-05
2,17.3743,0.54968,0.82222,1,0.7832,0.000163407,0.000163407,0.000163407
3,23.3955,0.25636,0.9,1,0.69336,0.000247426,0.000247426,0.000247426
4,29.4706,0.15231,0.95,1,0.60889,0.000330597,0.000330597,0.000330597
5,36.7023,0.1103,0.86111,1,0.69775,0.000412919,0.000412919,0.000412919
6,43.9243,0.23395,0.93889,1,0.62109,0.000494393,0.000494393,0.000494393
7,51.2173,0.23105,0.88333,1,0.67383,0.000575019,0.000575019,0.000575019
8,58.4214,0.23404,0.80556,1,0.74854,0.000654797,0.000654797,0.000654797
9,65.7304,0.19585,0.9,1,0.6499,0.000685726,0.000685726,0.000685726
10,73.0726,0.20737,0.95,1,0.60645,0.000682191,0.000682191,0.000682191
11,80.5532,0.28931,0.86667,1,0.67725,0.000678657,0.000678657,0.000678657
12,88.0361,0.25973,0.92222,1,0.64648,0.000675123,0.000675123,0.000675123
13,95.7215,0.25147,0.9,1,0.64551,0.000671588,0.000671588,0.000671588
14,103.446,0.18604,0.89444,1,0.65283,0.000668054,0.000668054,0.000668054
15,111.37,0.16856,0.93333,1,0.62109,0.00066452,0.00066452,0.00066452
16,119.707,0.1582,0.94444,1,0.60449,0.000660986,0.000660986,0.000660986
17,128.321,0.14766,0.94444,1,0.6001,0.000657451,0.000657451,0.000657451
18,136.723,0.12114,0.95556,1,0.60693,0.000653917,0.000653917,0.000653917
19,145.639,0.15663,0.97778,1,0.58301,0.000650383,0.000650383,0.000650383
20,155.043,0.16967,0.92778,1,0.6333,0.000646848,0.000646848,0.000646848
21,165.3,0.15952,0.98333,1,0.58545,0.000643314,0.000643314,0.000643314
22,175.626,0.12004,0.91667,1,0.63965,0.00063978,0.00063978,0.00063978
23,186.26,0.13526,1,1,0.56689,0.000636245,0.000636245,0.000636245
24,197.542,0.10438,0.99444,1,0.57031,0.000632711,0.000632711,0.000632711
25,209.221,0.112,0.98333,1,0.58398,0.000629177,0.000629177,0.000629177
26,221.09,0.13222,1,1,0.56104,0.000625642,0.000625642,0.000625642
27,233.438,0.17911,0.97222,1,0.5918,0.000622108,0.000622108,0.000622108
28,245.782,0.10568,0.97222,1,0.57764,0.000618574,0.000618574,0.000618574
29,259.163,0.09685,0.95556,1,0.59082,0.00061504,0.00061504,0.00061504
30,272.082,0.08203,0.96111,1,0.59619,0.000611505,0.000611505,0.000611505
31,286.258,0.10437,0.98333,1,0.58203,0.000607971,0.000607971,0.000607971
32,299.953,0.11469,0.97778,1,0.5835,0.000604437,0.000604437,0.000604437
33,314.218,0.13778,0.97778,1,0.5874,0.000600902,0.000600902,0.000600902
34,329.322,0.13242,0.98333,1,0.58008,0.000597368,0.000597368,0.000597368
35,344.443,0.13218,0.97222,1,0.58057,0.000593834,0.000593834,0.000593834
36,359.109,0.0984,0.98333,1,0.57373,0.0005903,0.0005903,0.0005903
37,374.187,0.11014,0.97222,1,0.58057,0.000586765,0.000586765,0.000586765
38,388.964,0.07273,0.99444,1,0.56543,0.000583231,0.000583231,0.000583231
39,405.195,0.06772,0.97778,1,0.5708,0.000579697,0.000579697,0.000579697
40,422.819,0.05884,0.98889,1,0.57568,0.000576162,0.000576162,0.000576162
41,444.985,0.07252,0.97778,1,0.57275,0.000572628,0.000572628,0.000572628
42,468.579,0.08997,0.98889,1,0.57031,0.000569094,0.000569094,0.000569094
43,488.781,0.07951,0.99444,1,0.56494,0.000565559,0.000565559,0.000565559
44,510.011,0.07149,0.99444,1,0.56006,0.000562025,0.000562025,0.000562025
45,531.364,0.06329,0.99444,1,0.56592,0.000558491,0.000558491,0.000558491
46,550.448,0.06806,0.99444,1,0.56152,0.000554956,0.000554956,0.000554956
