epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,8.16331,1.1914,0.49612,1,1.04004,5.712e-05,5.712e-05,5.712e-05
2,12.2476,0.66792,0.93798,1,0.72412,0.000120779,0.000120779,0.000120779
3,15.8576,0.34408,0.96899,1,0.61523,0.000183802,0.000183802,0.000183802
4,19.4405,0.21222,0.96899,1,0.58936,0.000246189,0.000246189,0.000246189
5,23.027,0.14526,0.95349,1,0.59326,0.00030794,0.00030794,0.00030794
6,26.5511,0.168,0.96899,1,0.58252,0.000369054,0.000369054,0.000369054
7,30.1401,0.18707,0.96899,1,0.59033,0.000429532,0.000429532,0.000429532
8,33.7437,0.15363,1,1,0.56348,0.000489375,0.000489375,0.000489375
9,37.348,0.2861,0.92248,1,0.63672,0.00054858,0.00054858,0.00054858
10,40.8937,0.16003,0.90698,1,0.63965,0.00060715,0.00060715,0.00060715
11,44.4604,0.29881,0.74419,1,0.79102,0.000665084,0.000665084,0.000665084
12,48.0148,0.17957,0.89147,1,0.65527,0.000675123,0.000675123,0.000675123
13,51.5717,0.30216,0.97674,1,0.5791,0.000671588,0.000671588,0.000671588
14,55.106,0.20656,0.96899,1,0.58496,0.000668054,0.000668054,0.000668054
15,58.6607,0.17464,0.93798,1,0.61914,0.00066452,0.00066452,0.00066452
16,62.2165,0.28287,0.93023,1,0.61914,0.000660986,0.000660986,0.000660986
17,65.8147,0.22188,0.96899,1,0.5957,0.000657451,0.000657451,0.000657451
18,69.4202,0.23943,0.96899,1,0.58887,0.000653917,0.000653917,0.000653917
19,73.007,0.22593,0.9845,1,0.57422,0.000650383,0.000650383,0.000650383
20,76.6013,0.239,0.95349,1,0.58643,0.000646848,0.000646848,0.000646848
21,80.2758,0.17568,0.92248,1,0.62256,0.000643314,0.000643314,0.000643314
22,83.9172,0.19171,0.96899,1,0.57617,0.00063978,0.00063978,0.00063978
23,87.5591,0.40853,0.75969,1,0.77295,0.000636245,0.000636245,0.000636245
24,91.2371,0.21139,0.9845,1,0.58008,0.000632711,0.000632711,0.000632711
25,94.88,0.15512,0.83721,1,0.70264,0.000629177,0.000629177,0.000629177
26,98.5569,0.29059,0.91473,1,0.6377,0.000625642,0.000625642,0.000625642
27,102.224,0.19339,0.95349,1,0.60986,0.000622108,0.000622108,0.000622108
28,105.973,0.35446,0.93023,1,0.63428,0.000618574,0.000618574,0.000618574
