epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,9.30195,1.51475,0.66111,0.97778,1.5376,0.00015708,0.00015708,0.00015708
2,14.1565,0.63417,0.75,0.99444,1.31396,0.00031971,0.00031971,0.00031971
3,19.0323,0.3712,0.85,0.98889,1.23193,0.000480713,0.000480713,0.000480713
4,23.9366,0.4779,0.73333,0.99444,1.3208,0.000640091,0.000640091,0.000640091
5,28.8922,0.57722,0.87222,1,1.18213,0.000699863,0.000699863,0.000699863
6,34.044,0.54456,0.85,1,1.2207,0.000696328,0.000696328,0.000696328
7,39.1384,0.47314,0.84444,0.99444,1.23486,0.000692794,0.000692794,0.000692794
8,44.3189,0.5167,0.75556,0.99444,1.2876,0.00068926,0.00068926,0.00068926
9,49.694,0.48052,0.77222,0.99444,1.28076,0.000685726,0.000685726,0.000685726
10,55.233,0.36236,0.85,1,1.20215,0.000682191,0.000682191,0.000682191
11,60.8241,0.3584,0.91111,0.99444,1.15186,0.000678657,0.000678657,0.000678657
12,66.503,0.33392,0.93333,1,1.13477,0.000675123,0.000675123,0.000675123
13,72.2598,0.27451,0.86111,0.99444,1.18604,0.000671588,0.000671588,0.000671588
14,77.8321,0.31448,0.83889,0.99444,1.20752,0.000668054,0.000668054,0.000668054
15,83.46,0.27707,0.9,0.99444,1.16113,0.00066452,0.00066452,0.00066452
16,89.037,0.23879,0.92222,0.99444,1.13672,0.000660986,0.000660986,0.000660986
17,94.6778,0.20116,0.89444,0.99444,1.16016,0.000657451,0.000657451,0.000657451
18,100.368,0.23486,0.95556,1,1.09277,0.000653917,0.000653917,0.000653917
19,106.142,0.2029,0.96111,0.99444,1.09619,0.000650383,0.000650383,0.000650383
20,111.921,0.27378,0.95,0.99444,1.10742,0.000646848,0.000646848,0.000646848
21,117.629,0.1653,0.97222,0.99444,1.10107,0.000643314,0.000643314,0.000643314
22,123.735,0.20409,0.91667,0.99444,1.13232,0.00063978,0.00063978,0.00063978
23,129.752,0.17371,0.96111,0.99444,1.09766,0.000636245,0.000636245,0.000636245
24,135.86,0.20243,0.91667,0.99444,1.13916,0.000632711,0.000632711,0.000632711
25,142.078,0.18311,0.93889,0.99444,1.11914,0.000629177,0.000629177,0.000629177
26,148.33,0.1871,0.94444,0.99444,1.14258,0.000625642,0.000625642,0.000625642
27,154.579,0.19262,0.89444,1,1.19189,0.000622108,0.000622108,0.000622108
28,160.941,0.1528,0.97222,0.99444,1.09082,0.000618574,0.000618574,0.000618574
29,167.447,0.11964,0.93889,0.99444,1.11377,0.00061504,0.00061504,0.00061504
30,174.003,0.12095,0.96667,0.99444,1.10254,0.000611505,0.000611505,0.000611505
31,180.938,0.15472,0.87778,0.99444,1.18652,0.000607971,0.000607971,0.000607971
32,187.75,0.1426,0.93333,0.99444,1.11035,0.000604437,0.000604437,0.000604437
33,194.675,0.18723,0.96111,0.99444,1.11279,0.000600902,0.000600902,0.000600902
34,201.859,0.17842,0.97222,0.99444,1.0791,0.000597368,0.000597368,0.000597368
35,209.234,0.12993,0.95,0.99444,1.104,0.000593834,0.000593834,0.000593834
36,216.4,0.13454,0.96111,0.99444,1.09131,0.0005903,0.0005903,0.0005903
37,223.686,0.12784,0.98333,0.99444,1.0752,0.000586765,0.000586765,0.000586765
38,231.169,0.13222,0.93889,0.99444,1.11719,0.000583231,0.000583231,0.000583231
39,238.79,0.13577,0.95,0.99444,1.09912,0.000579697,0.000579697,0.000579697
40,246.382,0.10711,0.97222,0.99444,1.08008,0.000576162,0.000576162,0.000576162
41,254.491,0.10944,0.96111,1,1.10449,0.000572628,0.000572628,0.000572628
42,262.907,0.10424,0.95556,0.99444,1.09912,0.000569094,0.000569094,0.000569094
43,271.323,0.09353,0.98889,0.99444,1.06445,0.000565559,0.000565559,0.000565559
44,279.185,0.144,0.95556,1,1.10205,0.000562025,0.000562025,0.000562025
45,287.553,0.1398,0.95,0.99444,1.11475,0.000558491,0.000558491,0.000558491
46,296.046,0.14312,0.97222,0.99444,1.0874,0.000554956,0.000554956,0.000554956
47,304.517,0.15344,0.93333,0.99444,1.11865,0.000551422,0.000551422,0.000551422
48,313.721,0.1013,0.96667,0.99444,1.07666,0.000547888,0.000547888,0.000547888
49,322.255,0.08044,0.95,0.99444,1.11279,0.000544354,0.000544354,0.000544354
50,331.966,0.08814,0.97778,0.99444,1.06982,0.000540819,0.000540819,0.000540819
51,340.932,0.10984,0.97778,0.99444,1.07324,0.000537285,0.000537285,0.000537285
52,349.813,0.10511,0.94444,1,1.09424,0.000533751,0.000533751,0.000533751
53,359.699,0.11442,0.93889,0.99444,1.10449,0.000530216,0.000530216,0.000530216
54,369.451,0.11834,0.96667,0.99444,1.09619,0.000526682,0.000526682,0.000526682
55,378.794,0.08322,0.97222,0.99444,1.07129,0.000523148,0.000523148,0.000523148
56,389.4,0.11546,0.97222,0.99444,1.08398,0.000519613,0.000519613,0.000519613
57,400.262,0.07011,0.96111,1,1.07422,0.000516079,0.000516079,0.000516079
58,410.157,0.08571,0.97222,1,1.07715,0.000512545,0.000512545,0.000512545
59,420.85,0.11926,0.98333,0.99444,1.06592,0.000509011,0.000509011,0.000509011
60,431.879,0.0818,0.97222,0.99444,1.07275,0.000505476,0.000505476,0.000505476
61,441.968,0.09504,0.96667,0.99444,1.0957,0.000501942,0.000501942,0.000501942
62,453.441,0.09199,0.96667,0.99444,1.0791,0.000498408,0.000498408,0.000498408
63,464.978,0.05803,0.98889,0.99444,1.05615,0.000494873,0.000494873,0.000494873
64,476.126,0.06311,0.96667,0.99444,1.0835,0.000491339,0.000491339,0.000491339
65,487.404,0.06516,0.97222,1,1.08398,0.000487805,0.000487805,0.000487805
66,499.208,0.0759,0.98333,1,1.06592,0.000484271,0.000484271,0.000484271
67,511.444,0.09159,0.92778,0.99444,1.1167,0.000480736,0.000480736,0.000480736
68,523.73,0.06898,0.95556,0.99444,1.10107,0.000477202,0.000477202,0.000477202
69,536.829,0.08526,0.98889,0.99444,1.0708,0.000473668,0.000473668,0.000473668
70,549.003,0.08899,0.95556,1,1.09082,0.000470133,0.000470133,0.000470133
71,561.818,0.06678,0.96667,0.99444,1.08301,0.000466599,0.000466599,0.000466599
72,575.795,0.06868,0.98889,1,1.06787,0.000463065,0.000463065,0.000463065
73,588.239,0.07869,0.97778,1,1.08789,0.00045953,0.00045953,0.00045953
74,601.757,0.07857,0.98333,1,1.07568,0.000455996,0.000455996,0.000455996
75,615.057,0.06597,0.98333,0.99444,1.06494,0.000452462,0.000452462,0.000452462
76,628.747,0.0838,0.98333,0.99444,1.07422,0.000448928,0.000448928,0.000448928
77,643.204,0.09778,0.96111,1,1.10791,0.000445393,0.000445393,0.000445393
78,658.618,0.10822,0.97222,0.99444,1.08984,0.000441859,0.000441859,0.000441859
79,674.936,0.06392,0.96111,0.99444,1.08984,0.000438325,0.000438325,0.000438325
