epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,7.7955,1.85791,0.28333,0.95,1.75781,4.998e-05,4.998e-05,4.998e-05
2,10.6053,1.34788,0.71667,1,1.58594,0.00010657,0.00010657,0.00010657
3,12.8621,0.80605,0.91667,1,1.35156,0.000162594,0.000162594,0.000162594
4,15.131,0.47515,0.93333,1,1.16895,0.000218053,0.000218053,0.000218053
5,17.4412,0.30562,0.96667,1,1.0918,0.000272946,0.000272946,0.000272946
6,19.7605,0.20592,0.93333,1,1.11719,0.000327274,0.000327274,0.000327274
7,22.2535,0.17171,0.96667,1,1.08594,0.000381037,0.000381037,0.000381037
8,24.6795,0.22018,0.95,1,1.10254,0.000434234,0.000434234,0.000434234
9,27.1301,0.26262,0.96667,1,1.13477,0.000486865,0.000486865,0.000486865
10,29.883,0.31868,0.95,1,1.09375,0.000538931,0.000538931,0.000538931
11,32.8657,0.30069,0.9,1,1.15723,0.000590432,0.000590432,0.000590432
12,35.544,0.33517,0.91667,1,1.15137,0.000641367,0.000641367,0.000641367
13,38.1382,0.42387,0.93333,1,1.11719,0.000671588,0.000671588,0.000671588
14,40.6951,0.27982,0.85,1,1.18359,0.000668054,0.000668054,0.000668054
15,43.3881,0.27167,0.95,1,1.1084,0.00066452,0.00066452,0.00066452
16,45.9021,0.35818,0.91667,1,1.11328,0.000660986,0.000660986,0.000660986
17,48.4661,0.34402,0.95,1,1.10742,0.000657451,0.000657451,0.000657451
18,51.0348,0.33919,0.98333,1,1.12207,0.000653917,0.000653917,0.000653917
19,53.7403,0.39087,0.93333,1,1.1377,0.000650383,0.000650383,0.000650383
20,56.3297,0.30529,0.95,1,1.13477,0.000646848,0.000646848,0.000646848
21,58.954,0.23639,0.76667,1,1.26172,0.000643314,0.000643314,0.000643314
22,61.6288,0.33372,0.9,1,1.13672,0.00063978,0.00063978,0.00063978
23,64.3112,0.25599,0.95,1,1.11816,0.000636245,0.000636245,0.000636245
24,67.1209,0.24671,0.93333,1,1.10547,0.000632711,0.000632711,0.000632711
25,70.1362,0.23509,0.98333,1,1.08594,0.000629177,0.000629177,0.000629177
26,73.1231,0.23624,0.86667,1,1.16797,0.000625642,0.000625642,0.000625642
27,76.5268,0.26054,0.96667,1,1.08496,0.000622108,0.000622108,0.000622108
28,79.691,0.19026,0.91667,1,1.12598,0.000618574,0.000618574,0.000618574
29,82.6881,0.23539,0.9,1,1.12402,0.00061504,0.00061504,0.00061504
30,85.8974,0.20111,0.93333,1,1.12598,0.000611505,0.000611505,0.000611505
31,89.0047,0.20035,0.93333,1,1.1123,0.000607971,0.000607971,0.000607971
32,92.731,0.30264,0.96667,1,1.08691,0.000604437,0.000604437,0.000604437
33,95.9606,0.24226,0.88333,1,1.1748,0.000600902,0.000600902,0.000600902
34,99.7833,0.17769,0.95,1,1.10156,0.000597368,0.000597368,0.000597368
35,103.424,0.18043,0.95,1,1.09766,0.000593834,0.000593834,0.000593834
36,107.083,0.13811,0.98333,1,1.06836,0.0005903,0.0005903,0.0005903
37,110.427,0.21049,0.98333,1,1.08496,0.000586765,0.000586765,0.000586765
38,114.554,0.20845,0.95,1,1.10352,0.000583231,0.000583231,0.000583231
39,118.774,0.15379,0.95,1,1.0918,0.000579697,0.000579697,0.000579697
40,123.686,0.14058,0.96667,1,1.08496,0.000576162,0.000576162,0.000576162
41,128.198,0.13092,0.98333,1,1.06348,0.000572628,0.000572628,0.000572628
42,133.42,0.09168,0.98333,1,1.06934,0.000569094,0.000569094,0.000569094
43,138.493,0.13818,0.98333,1,1.07227,0.000565559,0.000565559,0.000565559
44,143.842,0.12458,0.96667,1,1.07812,0.000562025,0.000562025,0.000562025
45,149.317,0.08758,0.98333,1,1.07715,0.000558491,0.000558491,0.000558491
46,154.861,0.13618,0.98333,1,1.06738,0.000554956,0.000554956,0.000554956
47,160.271,0.14932,0.96667,1,1.09375,0.000551422,0.000551422,0.000551422
48,166.017,0.11838,0.96667,1,1.09668,0.000547888,0.000547888,0.000547888
49,172.237,0.1107,0.96667,1,1.07715,0.000544354,0.000544354,0.000544354
50,177.39,0.08135,0.96667,1,1.0752,0.000540819,0.000540819,0.000540819
51,182.743,0.06872,0.98333,1,1.06836,0.000537285,0.000537285,0.000537285
52,188.396,0.0612,0.98333,1,1.0752,0.000533751,0.000533751,0.000533751
53,196.334,0.05574,0.95,1,1.11133,0.000530216,0.000530216,0.000530216
54,201.818,0.09071,0.96667,1,1.0791,0.000526682,0.000526682,0.000526682
55,208.431,0.0933,0.98333,1,1.06152,0.000523148,0.000523148,0.000523148
56,215.074,0.07751,0.96667,1,1.08008,0.000519613,0.000519613,0.000519613
57,222.567,0.07552,0.98333,1,1.06445,0.000516079,0.000516079,0.000516079
58,229.541,0.0519,0.98333,1,1.06152,0.000512545,0.000512545,0.000512545
59,236.645,0.12013,0.98333,1,1.06348,0.000509011,0.000509011,0.000509011
60,244.5,0.06999,0.98333,1,1.06152,0.000505476,0.000505476,0.000505476
61,251.403,0.11034,0.98333,1,1.06641,0.000501942,0.000501942,0.000501942
62,259.513,0.06433,0.96667,1,1.0752,0.000498408,0.000498408,0.000498408
63,266.321,0.09973,0.98333,1,1.06738,0.000494873,0.000494873,0.000494873
64,273.906,0.0829,0.96667,1,1.07129,0.000491339,0.000491339,0.000491339
65,282.16,0.08775,0.96667,1,1.07129,0.000487805,0.000487805,0.000487805
66,290.064,0.09498,0.96667,1,1.08691,0.000484271,0.000484271,0.000484271
67,297.082,0.0793,0.93333,1,1.08887,0.000480736,0.000480736,0.000480736
68,305.423,0.04459,0.96667,1,1.06836,0.000477202,0.000477202,0.000477202
69,313.477,0.06282,0.98333,1,1.06348,0.000473668,0.000473668,0.000473668
70,321.954,0.06909,0.98333,1,1.05859,0.000470133,0.000470133,0.000470133
71,330.322,0.04887,0.98333,1,1.06055,0.000466599,0.000466599,0.000466599
72,337.838,0.07889,0.96667,1,1.08789,0.000463065,0.000463065,0.000463065
73,346.116,0.06378,0.98333,1,1.06641,0.00045953,0.00045953,0.00045953
74,354.58,0.04299,0.98333,1,1.06152,0.000455996,0.000455996,0.000455996
75,363.145,0.05016,0.98333,1,1.06055,0.000452462,0.000452462,0.000452462
76,371.475,0.05014,0.98333,1,1.05957,0.000448928,0.000448928,0.000448928
77,379.37,0.03003,0.98333,1,1.05957,0.000445393,0.000445393,0.000445393
78,387.216,0.03684,0.98333,1,1.06055,0.000441859,0.000441859,0.000441859
79,395.045,0.02054,0.98333,1,1.06445,0.000438325,0.000438325,0.000438325
80,403.356,0.04908,0.96667,1,1.07227,0.00043479,0.00043479,0.00043479
81,411.512,0.06181,0.96667,1,1.06934,0.000431256,0.000431256,0.000431256
82,419.69,0.06273,0.98333,1,1.07324,0.000427722,0.000427722,0.000427722
83,428.078,0.04379,0.98333,1,1.06348,0.000424187,0.000424187,0.000424187
84,436.756,0.05842,1,1,1.05176,0.000420653,0.000420653,0.000420653
85,445.45,0.04612,1,1,1.06055,0.000417119,0.000417119,0.000417119
86,454.028,0.10304,0.98333,1,1.05762,0.000413584,0.000413584,0.000413584
87,462.648,0.0803,0.98333,1,1.05957,0.00041005,0.00041005,0.00041005
88,471.265,0.03877,0.98333,1,1.06055,0.000406516,0.000406516,0.000406516
89,479.402,0.04526,0.98333,1,1.06543,0.000402982,0.000402982,0.000402982
90,487.992,0.04397,0.98333,1,1.06543,0.000399447,0.000399447,0.000399447
91,496.599,0.02433,0.98333,1,1.06152,0.000395913,0.000395913,0.000395913
92,505.26,0.03444,0.98333,1,1.06152,0.000392379,0.000392379,0.000392379
93,513.846,0.04109,0.98333,1,1.06348,0.000388844,0.000388844,0.000388844
94,522.415,0.05006,0.96667,1,1.08301,0.00038531,0.00038531,0.00038531
95,531.003,0.04508,0.98333,1,1.06152,0.000381776,0.000381776,0.000381776
96,539.621,0.03542,0.98333,1,1.06055,0.000378242,0.000378242,0.000378242
97,548.23,0.05452,0.98333,1,1.06445,0.000374707,0.000374707,0.000374707
98,556.836,0.04935,0.98333,1,1.06152,0.000371173,0.000371173,0.000371173
99,565.473,0.0272,0.98333,1,1.06152,0.000367639,0.000367639,0.000367639
100,573.993,0.02931,0.98333,1,1.06445,0.000364104,0.000364104,0.000364104
101,582.58,0.03272,0.98333,1,1.06055,0.00036057,0.00036057,0.00036057
102,591.183,0.02263,0.98333,1,1.06055,0.000357036,0.000357036,0.000357036
103,599.822,0.04333,0.98333,1,1.06543,0.000353501,0.000353501,0.000353501
104,608.43,0.03144,0.98333,1,1.06836,0.000349967,0.000349967,0.000349967
105,617.021,0.04566,0.98333,1,1.06445,0.000346433,0.000346433,0.000346433
