epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,12.1212,0.67704,0.61111,1,0.62939,7.854e-05,7.854e-05,7.854e-05
2,17.7918,0.47044,0.81111,1,0.52051,0.000163407,0.000163407,0.000163407
3,23.5395,0.30801,0.84444,1,0.45483,0.000247426,0.000247426,0.000247426
4,29.2538,0.23615,0.78333,1,0.51758,0.000330597,0.000330597,0.000330597
5,35.2069,0.21494,0.82222,1,0.49438,0.000412919,0.000412919,0.000412919
6,41.1999,0.26383,0.91111,1,0.41772,0.000494393,0.000494393,0.000494393
7,47.0848,0.2845,0.92778,1,0.41382,0.000575019,0.000575019,0.000575019
8,53.1059,0.24964,0.88333,1,0.427,0.000654797,0.000654797,0.000654797
9,59.2099,0.23496,0.87222,1,0.43115,0.000685726,0.000685726,0.000685726
10,65.3691,0.30348,0.86667,1,0.43652,0.000682191,0.000682191,0.000682191
11,71.563,0.27443,0.91667,1,0.39111,0.000678657,0.000678657,0.000678657
12,77.7871,0.25868,0.90556,1,0.4209,0.000675123,0.000675123,0.000675123
13,84.1522,0.22087,0.89444,1,0.42188,0.000671588,0.000671588,0.000671588
14,90.5402,0.23856,0.92222,1,0.39453,0.000668054,0.000668054,0.000668054
15,96.9353,0.20739,0.92222,1,0.4021,0.00066452,0.00066452,0.00066452
16,103.249,0.2294,0.83333,1,0.48193,0.000660986,0.000660986,0.000660986
17,109.623,0.19991,0.87778,1,0.43091,0.000657451,0.000657451,0.000657451
18,116.029,0.19664,0.93889,1,0.38843,0.000653917,0.000653917,0.000653917
19,122.589,0.25023,0.9,1,0.41992,0.000650383,0.000650383,0.000650383
20,129.194,0.19566,0.93889,1,0.37524,0.000646848,0.000646848,0.000646848
21,135.484,0.21877,0.95,1,0.37573,0.000643314,0.000643314,0.000643314
22,142.195,0.23215,0.90556,1,0.42383,0.00063978,0.00063978,0.00063978
23,149.135,0.21335,0.88889,1,0.45996,0.000636245,0.000636245,0.000636245
24,155.949,0.19207,0.92778,1,0.40942,0.000632711,0.000632711,0.000632711
25,163.006,0.17681,0.9,1,0.40601,0.000629177,0.000629177,0.000629177
26,169.964,0.13377,0.96111,1,0.35742,0.000625642,0.000625642,0.000625642
27,177.371,0.14036,0.93333,1,0.38306,0.000622108,0.000622108,0.000622108
28,184.691,0.13064,0.93333,1,0.38696,0.000618574,0.000618574,0.000618574
29,192.342,0.12059,0.96667,1,0.35181,0.00061504,0.00061504,0.00061504
30,199.876,0.11349,0.95556,1,0.35449,0.000611505,0.000611505,0.000611505
31,208.024,0.10952,0.95,1,0.36328,0.000607971,0.000607971,0.000607971
32,216.303,0.13249,0.91667,1,0.39185,0.000604437,0.000604437,0.000604437
33,224.475,0.15375,0.93333,1,0.38452,0.000600902,0.000600902,0.000600902
34,232.911,0.15152,0.95,1,0.37817,0.000597368,0.000597368,0.000597368
35,241.257,0.15601,0.95,1,0.36694,0.000593834,0.000593834,0.000593834
36,249.669,0.11456,0.92778,1,0.37866,0.0005903,0.0005903,0.0005903
37,258.813,0.10949,0.96667,1,0.34814,0.000586765,0.000586765,0.000586765
38,267.453,0.0821,0.95556,1,0.35327,0.000583231,0.000583231,0.000583231
39,276.603,0.09427,0.93333,1,0.36914,0.000579697,0.000579697,0.000579697
40,286.566,0.07525,0.95,1,0.35693,0.000576162,0.000576162,0.000576162
41,297.079,0.10076,0.96111,1,0.35205,0.000572628,0.000572628,0.000572628
42,306.66,0.12093,0.96111,1,0.36084,0.000569094,0.000569094,0.000569094
43,316.207,0.09523,0.93889,1,0.36377,0.000565559,0.000565559,0.000565559
44,326.043,0.10341,0.95556,1,0.35693,0.000562025,0.000562025,0.000562025
45,336.422,0.10593,0.98333,1,0.34106,0.000558491,0.000558491,0.000558491
46,347.017,0.06845,0.97778,1,0.34692,0.000554956,0.000554956,0.000554956
47,357.14,0.07112,0.97778,1,0.33936,0.000551422,0.000551422,0.000551422
48,367.48,0.06161,0.95556,1,0.354,0.000547888,0.000547888,0.000547888
49,377.866,0.09095,0.95556,1,0.35742,0.000544354,0.000544354,0.000544354
50,389.246,0.10278,0.92222,1,0.38159,0.000540819,0.000540819,0.000540819
51,400.568,0.07755,0.92778,1,0.38892,0.000537285,0.000537285,0.000537285
52,412.21,0.05913,0.96111,1,0.35254,0.000533751,0.000533751,0.000533751
53,426.071,0.12335,0.96667,1,0.3457,0.000530216,0.000530216,0.000530216
54,440.002,0.10745,0.93889,1,0.37842,0.000526682,0.000526682,0.000526682
55,455.226,0.10021,0.96111,1,0.35815,0.000523148,0.000523148,0.000523148
56,469.093,0.0727,0.94444,1,0.36011,0.000519613,0.000519613,0.000519613
57,482.581,0.08253,0.95556,1,0.35693,0.000516079,0.000516079,0.000516079
58,496.423,0.07256,0.97222,1,0.35107,0.000512545,0.000512545,0.000512545
59,510.52,0.09353,0.96667,1,0.35645,0.000509011,0.000509011,0.000509011
60,525.33,0.08291,0.95,1,0.36084,0.000505476,0.000505476,0.000505476
61,541.684,0.06166,0.97778,1,0.34692,0.000501942,0.000501942,0.000501942
62,556.82,0.06644,0.95556,1,0.35547,0.000498408,0.000498408,0.000498408
63,572.879,0.05096,0.96111,1,0.34863,0.000494873,0.000494873,0.000494873
64,587.818,0.06543,0.95556,1,0.354,0.000491339,0.000491339,0.000491339
65,602.885,0.06322,0.95556,1,0.35571,0.000487805,0.000487805,0.000487805
