epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,7.26466,0.75596,0.57143,1,0.68604,3.57e-05,3.57e-05,3.57e-05
2,10.3556,0.60337,0.7381,1,0.57861,7.81512e-05,7.81512e-05,7.81512e-05
3,13.0014,0.48242,0.82143,1,0.51416,0.000120178,0.000120178,0.000120178
4,15.5964,0.38268,0.85714,1,0.479,0.000161781,0.000161781,0.000161781
5,18.2189,0.34791,0.86905,1,0.44849,0.00020296,0.00020296,0.00020296
6,20.9047,0.26102,0.84524,1,0.48291,0.000243715,0.000243715,0.000243715
7,23.5089,0.20479,0.89286,1,0.42578,0.000284046,0.000284046,0.000284046
8,26.2217,0.23182,0.85714,1,0.46143,0.000323952,0.000323952,0.000323952
9,28.9232,0.28188,0.89286,1,0.42773,0.000363435,0.000363435,0.000363435
10,31.6718,0.26505,0.85714,1,0.44019,0.000402493,0.000402493,0.000402493
11,34.3978,0.22457,0.94048,1,0.38379,0.000441127,0.000441127,0.000441127
12,37.1618,0.21805,0.95238,1,0.3623,0.000479337,0.000479337,0.000479337
13,40.0191,0.23223,0.95238,1,0.36621,0.000517123,0.000517123,0.000517123
14,42.8954,0.26346,0.91667,1,0.39844,0.000554485,0.000554485,0.000554485
15,45.7293,0.21906,0.82143,1,0.48193,0.000591423,0.000591423,0.000591423
16,48.577,0.23322,0.86905,1,0.43872,0.000627936,0.000627936,0.000627936
17,51.4077,0.20363,0.79762,1,0.49927,0.000657451,0.000657451,0.000657451
18,54.254,0.23616,0.86905,1,0.42212,0.000653917,0.000653917,0.000653917
19,57.1142,0.25466,0.91667,1,0.39893,0.000650383,0.000650383,0.000650383
20,59.9652,0.32676,0.85714,1,0.45532,0.000646848,0.000646848,0.000646848
21,62.8114,0.35646,0.7619,1,0.53809,0.000643314,0.000643314,0.000643314
22,65.6721,0.31213,0.64286,1,0.60254,0.00063978,0.00063978,0.00063978
23,68.5569,0.30562,0.88095,1,0.44873,0.000636245,0.000636245,0.000636245
24,71.4934,0.31057,0.91667,1,0.4165,0.000632711,0.000632711,0.000632711
25,74.4279,0.25151,0.91667,1,0.39502,0.000629177,0.000629177,0.000629177
26,77.4186,0.33203,0.89286,1,0.40356,0.000625642,0.000625642,0.000625642
27,80.4094,0.34708,0.88095,1,0.42993,0.000622108,0.000622108,0.000622108
28,83.3982,0.29438,0.89286,1,0.4436,0.000618574,0.000618574,0.000618574
29,86.4396,0.26543,0.92857,1,0.40454,0.00061504,0.00061504,0.00061504
30,89.4686,0.20505,0.86905,1,0.4248,0.000611505,0.000611505,0.000611505
31,92.5974,0.27807,0.82143,1,0.47827,0.000607971,0.000607971,0.000607971
32,95.7339,0.29031,0.80952,1,0.47314,0.000604437,0.000604437,0.000604437
33,98.836,0.27069,0.86905,1,0.42139,0.000600902,0.000600902,0.000600902
